,T,PtNH3,PtO,PtN,PtH2O,PtNO,PtN2O
0,300,0.00040319637303106565,0.00017455000161302578,9.642746665834194e-05,0.0005347768442444862,0.00043607732591660386,0.0004989538244318476
1,400,0.0005090445415692153,0.00023337965582924928,0.00015062722474217517,0.000643113163769816,0.0005441766190969258,0.0006169415456239302
2,500,0.0006049805553140794,0.0002832688216800046,0.0001982354227735849,0.0007338494449835918,0.0006346535567762931,0.00071484651679071
3,600,0.0006928645473153675,0.0003259881493616637,0.0002396770297686426,0.0008121880501964089,0.0007125034175386411,0.0007991290995847747
4,700,0.0007740213899967127,0.0003631131287303959,0.00027601806614385,0.0008813905108363261,0.0007808746926726437,0.0008734700514014647
5,800,0.0008495215718651144,0.0003958375878639624,0.00030822819052251814,0.0009436327224689363,0.0008418221900148215,0.0009401356054211593
6,900,0.0009202234522910303,0.00042504303718554235,0.00033707847645233585,0.0010004236391924356,0.0008967722079076888,0.0010006279099386661
7,1000,0.0009867941579277666,0.0004513848416737458,0.0003631649604891232,0.0010528305505162954,0.0009467672836639896,0.0010560085982196413
8,1100,0.0010497456584969863,0.0004753580770122617,0.0003869486005369447,0.001101619961285676,0.0009925987589752877,0.0011070676187173816
9,1200,0.0011094744897442727,0.000497343481771964,0.0004087894100459429,0.0011473525461036188,0.001034883972432657,0.0011544161723994046
10,1300,0.001166295248691017,0.0005176389955071571,0.00042897215946209187,0.0011904479571982454,0.0010741145691993924,0.0011985410340339994
11,1400,0.0012204651944686595,0.0005364815422558372,0.00044772508441181207,0.0012312286644205993,0.0011106885578400039,0.0012398383126295206
12,1500,0.0012722010332249971,0.000554062292938127,0.00046523343801704083,0.0012699493239632536,0.001144932544288552,0.0012786356657761297
13,1600,0.001321689959296531,0.0005705375395401046,0.0004816493698556658,0.0013068163757012962,0.0011771176715209071,0.001315207652118459
14,1700,0.0013690968360713293,0.0005860365759280688,0.0004970992045606094,0.0013420011613460483,0.0012074713396110698,0.001349786774693967
15,1800,0.0014145689058022478,0.0006006675037686667,0.0005116888708323715,0.0013756487915457653,0.001236185997844983,0.0013825716801207557
16,1900,0.0014582389577026701,0.0006145215762840607,0.0005255080022403715,0.001407884232684516,0.0012634258502179088,0.0014137333991137765
17,2000,0.001500227543376306,0.0006276764949219539,0.0005386330731618427,0.0014388165695105553,0.0012893320419079428,0.001443420190200055
