,T,RhNH3,RhO,RhN,RhH2O,RhNO,RhN2O
0,300,0.00037658745802222524,0.00013066703104930443,9.78814100924874e-05,0.00043449848653080714,0.00038170219591368424,0.0009106688254612607
1,400,0.0004869499642794334,0.00019000095285436834,0.0001523060857252098,0.0005435417644386446,0.0004931743954714828,0.001074724468003308
2,500,0.0005860367570987741,0.0002403074746220601,0.00020002966472028078,0.000634876345823858,0.000585794465483001,0.0012090320727694412
3,600,0.0006760830524586795,0.00028331137834510553,0.00024153707319612942,0.00071369568133458,0.0006651381291480076,0.0013232939319853248
4,700,0.0007587302046346298,0.0003206294408812126,0.00027791886520037954,0.0007832978722018713,0.0007345989178592242,0.0014230890380629577
5,800,0.0008352663965900648,0.000353488326746525,0.00031015587867444375,0.000845887809642654,0.0007963617070598012,0.0015118730204843826
6,900,0.0009066954220559749,0.00038279021889245943,0.0003390247989977346,0.0009029912879924217,0.0008519335154287045,0.0015919319086311484
7,1000,0.0009737816546003087,0.00040920319210643007,0.000365124711683676,0.0009556838004392551,0.0009024107019151414,0.0016648658328906015
8,1100,0.0010371024680968777,0.00043323027502427164,0.0003889183408938631,0.0010047354174816338,0.0009486216877701425,0.0017318483810473536
9,1200,0.0010970986725655338,0.0004552573211953388,0.0004107667784395258,0.0010507084071674784,0.0009912098601146772,0.0017937730346340704
10,1300,0.0011541150474460814,0.0004755856553929577,0.0004309554824727341,0.0010940234330993235,0.001030685451673657,0.0018513402292561951
11,1400,0.0012084295893695911,0.0004944545035382403,0.000449713143570171,0.001135003976599914,0.0010674599285478458,0.0019051118028935022
12,1500,0.0012602733760782145,0.0005120566409961334,0.0004672253253709987,0.0011739058719679016,0.0011018697775496248,0.00195554669299823
13,1600,0.001309843654394015,0.0005285495033292655,0.0004836443951668002,0.001210936892563375,0.0011341934953596636,0.0020030253391771645
14,1700,0.0013573123873497712,0.0005440632160258733,0.0004990968338486207,0.0012462698011595564,0.0011646640263990068,0.002047866971586116
15,1800,0.0014028318809621086,0.0005587064965353903,0.0005136886845919602,0.0012800511458357997,0.0011934780519540311,0.0020903422302329853
16,1900,0.0014465385718410268,0.000572571061519997,0.0005275096663663029,0.0013124072908426287,0.0012208030440845064,0.0021306826066808202
17,2000,0.0014885556643805264,0.0005857349663782018,0.000540636318296176,0.0013434486418407118,0.0012467826993732068,0.00216908765448161
